City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
237,Bairiki,KI,2022-08-10 20:07:35,1.3292,172.9752,82.4,74,40,9.22
238,Hedaru,TZ,2022-08-10 20:07:36,-4.5,37.9,66.13,86,100,1.41
239,Merauke,ID,2022-08-10 20:07:36,-8.4667,140.3333,76.1,86,76,14.67
240,Portree,GB,2022-08-10 20:07:37,57.4129,-6.1942,57.52,98,57,9.62
241,Lata,PT,2022-08-10 20:04:44,40.1629,-8.3327,66.11,83,0,3.69
242,Nouadhibou,MR,2022-08-10 20:07:38,20.931,-17.0347,75.0,73,0,26.49
243,Tiksi,RU,2022-08-10 20:04:41,71.6872,128.8694,49.03,88,10,5.44
244,Baykit,RU,2022-08-10 20:07:39,61.67,96.37,58.82,90,100,2.62
245,Kargala,RU,2022-08-10 20:07:39,56.6208,83.9607,60.12,87,0,4.79
246,Tautira,PF,2022-08-10 20:07:40,-17.7333,-149.15,76.71,75,76,12.33
247,Arman,RU,2022-08-10 20:07:41,59.7,150.1667,56.07,90,100,3.98
248,Talnakh,RU,2022-08-10 20:07:41,69.4865,88.3972,46.89,81,100,6.53
249,Yomou,GN,2022-08-10 20:07:42,7.5603,-9.2653,70.14,99,35,4.05
250,Sao Joao Da Barra,BR,2022-08-10 20:07:42,-21.6403,-41.0511,78.89,77,100,16.6
251,Charters Towers,AU,2022-08-10 20:07:43,-20.1,146.2667,54.09,87,1,7.25
252,Lucea,JM,2022-08-10 20:07:44,18.451,-78.1736,87.85,75,30,19.66
253,Mahebourg,MU,2022-08-10 20:07:44,-20.4081,57.7,70.25,72,88,20.8
254,Adre,TD,2022-08-10 20:07:45,13.4667,22.2,71.83,89,100,6.91
255,Tanout,NE,2022-08-10 20:07:45,14.9709,8.8879,93.29,33,100,8.72
256,Krasnyy Yar,RU,2022-08-10 20:07:47,46.5331,48.3456,71.53,44,0,7.07
257,Urdoma,RU,2022-08-10 20:07:47,61.7533,48.5442,52.77,92,100,3.2
258,Soyo,AO,2022-08-10 20:07:48,-6.1349,12.3689,69.06,88,25,7.23
259,Hasaki,JP,2022-08-10 20:04:59,35.7333,140.8333,79.2,91,100,15.14
260,Encruzilhada Do Sul,BR,2022-08-10 20:07:49,-30.5439,-52.5219,53.01,79,49,7.87
261,Pontes E Lacerda,BR,2022-08-10 20:04:47,-15.2261,-59.3353,75.24,22,28,8.34
262,Halifax,CA,2022-08-10 20:07:12,44.6453,-63.5724,71.69,79,69,8.99
263,Inhambane,MZ,2022-08-10 20:07:50,-23.865,35.3833,69.78,84,0,7.7
264,Bambous Virieux,MU,2022-08-10 20:07:51,-20.3428,57.7575,70.21,71,97,20.8
265,Villa Rica,US,2022-08-10 20:07:05,33.7321,-84.9191,86.23,83,100,5.28
266,Sesheke,ZM,2022-08-10 20:07:52,-17.4759,24.2968,66.78,23,0,3.27
267,Iqaluit,CA,2022-08-10 20:07:52,63.7506,-68.5145,54.7,66,2,10.0
268,Fort Nelson,CA,2022-08-10 20:07:53,58.8053,-122.7002,82.87,30,1,4.27
269,Porto De Moz,BR,2022-08-10 20:07:53,-1.7483,-52.2383,85.86,54,100,2.42
270,Cape Canaveral,US,2022-08-10 20:07:54,28.4058,-80.6048,93.27,60,0,16.11
271,Mount Gambier,AU,2022-08-10 20:07:55,-37.8333,140.7667,45.34,94,100,9.62
272,Tchibanga,GA,2022-08-10 20:07:56,-2.85,11.0333,70.12,80,6,4.12
273,Labuhan,ID,2022-08-10 20:08:56,-6.8844,112.2051,76.86,89,61,6.2
274,Szamotuly,PL,2022-08-10 20:08:57,52.612,16.5779,69.98,42,47,7.56
275,Hofn,IS,2022-08-10 20:08:57,64.2539,-15.2082,54.95,67,5,7.14
276,Natal,BR,2022-08-10 20:04:03,-5.795,-35.2094,79.45,73,0,9.22
277,Port Macquarie,AU,2022-08-10 20:09:00,-31.4333,152.9167,45.9,89,40,5.35
278,Vrangel,RU,2022-08-10 20:09:00,42.7297,133.0839,69.24,93,90,4.85
279,Wuwei,CN,2022-08-10 20:09:01,37.9281,102.6414,72.01,76,89,2.13
280,Yerbogachen,RU,2022-08-10 20:09:02,61.2767,108.0108,54.25,86,99,3.71
281,Cabo San Lucas,MX,2022-08-10 20:04:29,22.8909,-109.9124,95.61,66,40,11.5
282,Carlsbad,US,2022-08-10 20:06:14,33.1581,-117.3506,102.27,64,0,12.66
283,Vostok,RU,2022-08-10 20:09:03,46.4856,135.8833,53.85,95,67,5.73
284,Alice Springs,AU,2022-08-10 20:09:04,-23.7,133.8833,56.75,62,100,5.75
285,Cherskiy,RU,2022-08-10 20:09:04,68.75,161.3,58.01,69,0,2.93
286,Kpalime,TG,2022-08-10 20:09:05,6.9,0.6333,73.31,81,57,3.51
287,Port Lincoln,AU,2022-08-10 20:09:06,-34.7333,135.8667,50.02,82,22,20.45
288,Acajutla,SV,2022-08-10 20:09:07,13.5928,-89.8275,84.83,69,49,5.7
289,Meadville,US,2022-08-10 20:09:07,41.6414,-80.1515,81.91,53,0,5.75
290,Acapulco,MX,2022-08-10 20:09:08,16.8634,-99.8901,84.02,74,100,8.05
291,Cristinesti,RO,2022-08-10 20:09:08,48.1,26.3833,68.18,82,59,6.08
292,Vao,NC,2022-08-10 20:06:16,-22.6667,167.4833,67.68,56,60,21.54
